# Measured G1 fall: two deliberate falls, peak tilt 81.15 deg, yaw spun at 0.7 rad/s to exercise yaw invariance.
t_s,qw,qx,qy,qz
2.2962,0.693536033,0.027204249,0.028217006,0.719354919
2.3163,0.688463604,0.026867488,0.028262961,0.724221795
2.3372,0.683153185,0.026515160,0.028304098,0.729244506
2.3582,0.677779278,0.026192257,0.028374552,0.734250707
2.3786,0.672524867,0.025849318,0.028407339,0.739077221
2.3998,0.667027421,0.025508602,0.028454211,0.744052477
2.4202,0.661701487,0.025211245,0.028529757,0.748800099
2.4423,0.655892076,0.024929716,0.028654831,0.753898531
2.4638,0.650201758,0.024678772,0.028801221,0.758814287
2.4930,0.642414068,0.024352308,0.029015191,0.765420962
2.5156,0.636338686,0.024143693,0.029233132,0.770477503
2.5363,0.630738656,0.023964844,0.029448543,0.775065944
2.5596,0.624396611,0.023736975,0.029659334,0.780183153
2.5880,0.616611317,0.023429694,0.029879400,0.786351546
2.6089,0.610844629,0.023159860,0.029984424,0.790843470
2.6299,0.605018818,0.022849621,0.030036545,0.795316246
2.6504,0.599299833,0.022556121,0.030096439,0.799640629
2.6735,0.592820123,0.022182208,0.030101610,0.804466372
2.6943,0.586953895,0.021802159,0.030041389,0.808769006
2.7145,0.581227690,0.021415756,0.029952167,0.812907501
2.7358,0.575159089,0.020982572,0.029813598,0.817228795
2.7568,0.569144416,0.020556758,0.029669525,0.821444930
2.7773,0.563242504,0.020161490,0.029549708,0.825516935
2.7986,0.557079516,0.019748126,0.029412467,0.829703158
2.8191,0.551117456,0.019385571,0.029324958,0.833686869
2.8407,0.544802412,0.019068712,0.029325175,0.837834560
2.8613,0.538750432,0.018772627,0.029330412,0.841745382
2.8837,0.532137046,0.018474304,0.029368905,0.845947003
2.9055,0.525667954,0.018223077,0.029465986,0.849984045
2.9258,0.519615406,0.018019612,0.029605146,0.853697053
2.9463,0.513473427,0.017904418,0.029896785,0.857397605
2.9670,0.507242715,0.017840947,0.030286469,0.861086092
2.9936,0.499196525,0.017774286,0.030825992,0.865757854
3.0145,0.492845207,0.017688100,0.031201755,0.869377469
3.0372,0.485917810,0.017569828,0.031575255,0.873257228
3.0575,0.479694421,0.017529654,0.032036677,0.876675325
3.0841,0.471504834,0.017421969,0.032556027,0.881090104
3.1048,0.465093343,0.017604917,0.033478709,0.884453179
3.1255,0.458658832,0.017740952,0.034339054,0.887771459
3.1473,0.451857597,0.017842788,0.035192055,0.891217070
3.1677,0.445466001,0.018014026,0.036167752,0.894386623
3.1878,0.439150525,0.018064580,0.036917799,0.897472876
3.2089,0.432495005,0.018170392,0.037839330,0.900658700
3.2291,0.426099286,0.018309590,0.038830371,0.903657214
3.2493,0.419684669,0.018384007,0.039713639,0.906614380
3.2701,0.413055901,0.018491644,0.040721186,0.909606875
3.2916,0.406180129,0.018611119,0.041817315,0.912645956
3.3122,0.399568081,0.018770814,0.043008218,0.915501665
3.3330,0.392868613,0.018962240,0.044324220,0.918330033
3.3583,0.384697109,0.019067558,0.045684885,0.921714410
3.3788,0.378042221,0.019369425,0.047361318,0.924373198
3.3998,0.371213762,0.019487297,0.048667426,0.927066378
3.4203,0.364534560,0.019476409,0.049670031,0.929660213
3.4404,0.357972270,0.019372046,0.050445215,0.932167291
3.4607,0.351329345,0.019213970,0.051115833,0.934658058
3.4807,0.344769322,0.019015751,0.051684126,0.937070577
3.5008,0.338160701,0.018794224,0.052212602,0.939450883
3.5213,0.331408100,0.018480431,0.052520351,0.941843277
3.5422,0.324512625,0.018043363,0.052501687,0.944250796
3.5623,0.317866284,0.017592848,0.052386959,0.946523705
3.5838,0.310738428,0.017132522,0.052317468,0.948899883
3.6042,0.303956486,0.016738912,0.052377041,0.951097739
3.6249,0.297060980,0.016302492,0.052315586,0.953284891
3.6450,0.290352512,0.015838526,0.052114671,0.955368317
3.6658,0.283397481,0.015317999,0.051753165,0.957482552
3.6865,0.276461943,0.014779078,0.051295065,0.959541135
3.7075,0.269413449,0.014183251,0.050622757,0.961588563
3.7284,0.262384151,0.013585203,0.049890177,0.963577174
3.7488,0.255508535,0.013016604,0.049184674,0.965467153
3.7688,0.248753601,0.012481835,0.048535167,0.967269449
3.7928,0.240630843,0.011853220,0.047750090,0.969368984
3.8137,0.233543884,0.011291458,0.046953305,0.971146304
3.8346,0.226443556,0.010743174,0.046155960,0.972870766
3.8551,0.219467022,0.010208149,0.045327873,0.974512906
3.8807,0.210733652,0.009651180,0.044720484,0.976472355
3.9020,0.203461118,0.009031849,0.043417897,0.978078159
